"Block","Day","Genotype","Treatment","Tube","Number.of.females","Number.of.eggs","Number.of.Offspring"
2,4,"RAL 397","NI",2,5,52,12
2,4,"RAL 397","NI",3,5,42,17
2,4,"RAL 646","I",1,5,44,40
2,4,"RAL 646","I",2,5,8,6
2,4,"RAL 646","I",3,5,43,40
2,4,"RAL 646","NI",1,5,41,35
2,4,"RAL 646","NI",2,5,64,55
2,4,"RAL 646","NI",3,5,66,59
2,4,"RAL 486","I",1,4,44,12
2,4,"RAL 486","I",2,5,90,74
2,4,"RAL 486","I",3,4,36,20
2,4,"RAL 486","NI",1,4,66,40
2,4,"RAL 486","NI",2,5,65,25
2,4,"RAL 486","NI",3,4,60,47
2,4,"RAL 837","I",1,3,2,1
2,4,"RAL 837","I",2,3,3,1
2,4,"RAL 837","I",3,4,22,14
2,4,"RAL 837","NI",1,4,75,42
2,4,"RAL 837","NI",2,4,72,50
2,4,"RAL 837","NI",3,4,76,48
2,4,"RAL 370","I",1,5,41,23
2,4,"RAL 370","I",2,5,45,34
2,4,"RAL 370","I",3,5,59,37
2,4,"RAL 370","NI",1,5,34,17
2,4,"RAL 370","NI",2,5,47,32
2,4,"RAL 370","NI",3,5,61,38
2,4,"RAL 799","I",1,5,33,22
2,4,"RAL 799","I",2,5,26,22
2,4,"RAL 799","I",3,3,25,23
2,4,"RAL 799","NI",1,5,40,27
2,4,"RAL 799","NI",2,4,16,12
2,4,"RAL 799","NI",3,4,39,30
2,4,"RAL 382","I",1,4,43,17
2,4,"RAL 382","I",2,3,16,8
2,4,"RAL 382","I",3,5,35,15
2,4,"RAL 382","NI",1,5,50,22
2,4,"RAL 382","NI",2,5,110,52
2,4,"RAL 382","NI",3,5,105,64
2,4,"RAL 737","I",1,4,18,15
2,4,"RAL 737","I",2,4,3,1
2,4,"RAL 737","I",3,4,25,18
2,4,"RAL 737","NI",1,5,51,41
2,4,"RAL 737","NI",2,5,81,24
2,4,"RAL 737","NI",3,4,41,19
2,4,"RAL 776","I",1,5,7,4
2,4,"RAL 776","I",2,5,35,30
2,4,"RAL 776","I",3,5,19,13
2,4,"RAL 776","NI",1,4,14,12
2,4,"RAL 776","NI",2,5,28,24
2,4,"RAL 776","NI",3,5,26,15
2,4,"RAL 443","I",1,5,31,26
2,4,"RAL 443","I",2,4,41,32
2,4,"RAL 443","I",3,5,52,46
2,4,"RAL 443","NI",1,5,43,38
2,4,"RAL 443","NI",2,5,26,14
2,4,"RAL 443","NI",3,5,41,24
2,5,"RAL 382","I",1,4,47,24
2,5,"RAL 382","I",2,2,45,23
2,5,"RAL 382","I",3,5,29,10
2,5,"RAL 382","NI",1,5,80,39
2,5,"RAL 382","NI",2,5,68,34
2,5,"RAL 382","NI",3,5,57,40
2,5,"RAL 737","I",1,4,54,25
2,5,"RAL 737","I",2,3,49,38
2,5,"RAL 737","I",3,4,72,48
2,5,"RAL 737","NI",1,5,83,49
2,5,"RAL 737","NI",2,5,46,22
2,5,"RAL 737","NI",3,4,39,28
2,5,"RAL 776","I",1,5,28,14
2,5,"RAL 776","I",2,5,45,40
2,5,"RAL 776","I",3,5,46,22
2,5,"RAL 776","NI",1,4,54,35
2,5,"RAL 776","NI",2,5,72,52
2,5,"RAL 776","NI",3,5,38,37
2,5,"RAL 443","I",1,5,35,22
2,5,"RAL 443","I",2,4,61,35
2,5,"RAL 443","I",3,5,60,36
2,5,"RAL 443","NI",1,5,48,29
2,5,"RAL 443","NI",2,5,57,27
2,5,"RAL 443","NI",3,5,62,47
2,5,"RAL 799","I",1,5,45,29
2,5,"RAL 799","I",2,5,32,21
2,5,"RAL 799","I",3,3,31,28
2,5,"RAL 799","NI",1,5,59,43
2,5,"RAL 799","NI",2,4,85,67
2,5,"RAL 799","NI",3,4,43,30
2,5,"RAL 486","I",1,4,46,15
2,5,"RAL 486","I",2,5,92,54
2,5,"RAL 486","I",3,4,44,22
2,5,"RAL 486","NI",1,4,65,40
2,5,"RAL 486","NI",2,5,81,24
2,5,"RAL 486","NI",3,4,49,33
2,5,"RAL 837","I",1,3,35,16
2,5,"RAL 837","I",2,3,76,41
2,5,"RAL 837","I",3,4,47,24
2,5,"RAL 837","NI",1,4,73,37
2,5,"RAL 837","NI",2,4,76,42
2,5,"RAL 837","NI",3,5,59,38
2,5,"RAL 370","I",1,4,49,21
2,5,"RAL 370","I",2,5,78,42
2,5,"RAL 370","I",3,5,60,22
2,5,"RAL 370","NI",1,5,50,17
2,5,"RAL 370","NI",2,5,93,55
2,5,"RAL 370","NI",3,5,69,37
2,5,"RAL 646","I",1,5,86,62
2,5,"RAL 646","I",2,5,122,79
2,5,"RAL 646","I",3,5,108,71
2,5,"RAL 646","NI",1,5,34,32
2,5,"RAL 646","NI",2,5,103,70
2,5,"RAL 646","NI",3,5,91,68
2,5,"RAL 397","I",1,3,32,7
2,5,"RAL 397","I",2,4,64,17
2,5,"RAL 397","I",3,1,6,3
2,5,"RAL 397","NI",1,5,72,0
2,5,"RAL 397","NI",2,5,63,14
2,5,"RAL 397","NI",3,5,82,23
2,5,"RAL 395","I",1,5,61,26
2,5,"RAL 395","I",2,3,59,46
2,5,"RAL 395","I",3,5,48,18
2,5,"RAL 395","NI",1,4,24,11
2,5,"RAL 395","NI",2,4,19,13
2,5,"RAL 395","NI",3,5,34,27
2,5,"RAL 786","I",1,4,27,14
2,5,"RAL 786","I",2,5,86,39
2,5,"RAL 786","I",3,3,51,35
2,5,"RAL 786","NI",1,4,53,38
2,5,"RAL 786","NI",2,4,71,52
2,5,"RAL 786","NI",3,4,75,27
2,5,"RAL 129","I",1,3,31,0
2,5,"RAL 129","I",2,5,85,23
2,5,"RAL 129","I",3,5,113,86
2,5,"RAL 129","NI",1,3,93,50
2,5,"RAL 129","NI",2,5,62,26
2,5,"RAL 129","NI",3,4,73,47
3,1,"RAL 799","I",1,5,38,30
3,1,"RAL 799","I",2,5,66,34
3,1,"RAL 799","I",3,4,46,38
3,1,"RAL 799","NI",1,5,53,34
3,1,"RAL 799","NI",2,5,44,29
3,1,"RAL 799","NI",3,5,58,35
3,1,"RAL 395","I",1,5,77,58
3,1,"RAL 395","I",2,5,61,39
3,1,"RAL 395","I",3,5,61,46
3,1,"RAL 395","NI",1,5,89,65
3,1,"RAL 395","NI",2,5,85,60
3,1,"RAL 395","NI",3,5,86,50
3,1,"RAL 443","I",1,5,29,25
3,1,"RAL 443","I",2,5,19,10
3,1,"RAL 443","I",3,5,41,23
3,1,"RAL 443","NI",1,4,67,39
3,1,"RAL 443","NI",2,5,117,78
3,1,"RAL 443","NI",3,5,70,48
3,1,"RAL 737","I",1,5,36,29
3,1,"RAL 737","I",2,5,28,17
3,1,"RAL 737","I",3,5,25,21
3,1,"RAL 737","NI",1,4,27,19
3,1,"RAL 737","NI",2,5,3,3
3,1,"RAL 737","NI",3,5,24,22
3,1,"RAL 776","I",1,5,73,57
3,1,"RAL 776","I",2,5,27,24
3,1,"RAL 776","I",3,5,36,30
3,1,"RAL 776","NI",1,4,61,61
3,1,"RAL 776","NI",2,5,56,44
3,1,"RAL 776","NI",3,5,80,76
3,1,"RAL 837","I",1,5,90,47
3,1,"RAL 837","I",2,5,68,29
3,1,"RAL 837","I",3,5,105,73
3,1,"RAL 837","NI",1,5,71,48
3,1,"RAL 837","NI",2,5,75,46
3,1,"RAL 837","NI",3,5,57,38
3,1,"RAL 397","I",1,5,72,23
3,1,"RAL 397","I",2,5,57,21
3,1,"RAL 397","I",3,5,64,15
3,1,"RAL 397","NI",1,5,65,16
3,1,"RAL 397","NI",2,5,93,16
3,1,"RAL 397","NI",3,4,42,18
3,1,"RAL 370","I",1,5,64,30
3,1,"RAL 370","I",2,5,60,34
3,1,"RAL 370","I",3,5,57,38
3,1,"RAL 370","NI",1,5,66,40
3,1,"RAL 370","NI",2,5,58,44
3,1,"RAL 370","NI",3,5,55,34
3,1,"RAL 382","I",1,5,67,45
3,1,"RAL 382","I",2,5,98,53
3,1,"RAL 382","I",3,5,81,46
3,1,"RAL 382","NI",1,5,85,44
3,1,"RAL 382","NI",2,5,38,26
3,1,"RAL 382","NI",3,4,48,21
3,1,"RAL 786","I",1,5,73,45
3,1,"RAL 786","I",2,5,68,38
3,1,"RAL 786","I",3,5,46,29
3,1,"RAL 786","NI",1,4,63,28
3,1,"RAL 786","NI",2,4,71,20
3,1,"RAL 786","NI",3,5,92,40
3,1,"RAL 486","I",1,5,65,61
3,1,"RAL 486","I",2,5,39,24
3,1,"RAL 486","I",3,5,90,59
3,1,"RAL 486","NI",1,5,73,57
3,1,"RAL 486","NI",2,5,89,68
3,1,"RAL 486","NI",3,5,107,76
3,1,"RAL 646","I",1,5,65,58
3,1,"RAL 646","I",2,5,39,33
3,1,"RAL 646","I",3,5,47,40
3,1,"RAL 646","NI",1,5,37,30
3,1,"RAL 646","NI",2,4,66,54
3,1,"RAL 646","NI",3,4,41,29
3,1,"RAL 129","I",1,5,71,35
3,1,"RAL 129","I",2,5,97,43
3,1,"RAL 129","I",3,5,46,21
3,1,"RAL 129","NI",1,5,24,15
3,1,"RAL 129","NI",2,4,96,64
3,1,"RAL 129","NI",3,5,88,50
3,2,"RAL 486","I",1,5,18,10
3,2,"RAL 486","I",2,5,12,11
3,2,"RAL 486","I",3,5,10,6
3,2,"RAL 486","NI",1,5,65,39
3,2,"RAL 486","NI",2,5,75,53
3,2,"RAL 486","NI",3,4,86,52
3,2,"RAL 646","I",1,5,76,60
3,2,"RAL 646","I",2,5,75,63
3,2,"RAL 646","I",3,5,72,68
3,2,"RAL 646","NI",1,4,51,49
3,2,"RAL 646","NI",2,4,97,70
3,2,"RAL 646","NI",3,4,114,85
3,2,"RAL 129","I",1,5,45,16
3,2,"RAL 129","I",2,5,35,15
3,2,"RAL 129","I",3,4,34,17
3,2,"RAL 129","NI",1,5,36,27
3,2,"RAL 129","NI",2,4,75,53
3,2,"RAL 129","NI",3,5,71,45
3,2,"RAL 799","I",1,5,24,19
3,2,"RAL 799","I",2,5,44,24
3,2,"RAL 799","I",3,4,32,17
3,2,"RAL 799","NI",1,5,56,37
3,2,"RAL 799","NI",2,5,63,45
3,2,"RAL 799","NI",3,5,55,36
3,2,"RAL 395","I",1,5,48,42
3,2,"RAL 395","I",2,5,69,58
3,2,"RAL 395","I",3,5,71,63
3,2,"RAL 395","NI",1,5,92,74
3,2,"RAL 395","NI",2,5,89,72
3,2,"RAL 395","NI",3,5,64,54
3,2,"RAL 443","I",1,4,60,45
3,2,"RAL 443","I",2,5,62,49
3,2,"RAL 443","I",3,5,67,41
3,2,"RAL 443","NI",1,5,107,72
3,2,"RAL 443","NI",2,5,99,61
3,2,"RAL 443","NI",3,5,103,72
3,2,"RAL 737","I",1,5,69,57
3,2,"RAL 737","I",2,5,36,24
3,2,"RAL 737","I",3,5,71,58
3,2,"RAL 737","NI",1,4,81,64
3,2,"RAL 737","NI",2,4,13,10
3,2,"RAL 737","NI",3,3,70,54
3,2,"RAL 776","I",1,5,48,34
3,2,"RAL 776","I",2,5,49,45
3,2,"RAL 776","I",3,5,65,43
3,2,"RAL 776","NI",1,4,58,51
3,2,"RAL 776","NI",2,5,81,60
3,2,"RAL 776","NI",3,5,84,76
3,2,"RAL 837","I",1,5,29,13
3,2,"RAL 837","I",2,5,54,18
3,2,"RAL 837","I",3,5,74,48
3,2,"RAL 837","NI",1,4,103,62
3,2,"RAL 837","NI",2,4,111,63
3,2,"RAL 837","NI",3,3,96,58
3,2,"RAL 397","I",1,5,60,24
3,2,"RAL 397","I",2,5,66,23
3,2,"RAL 397","I",3,5,61,25
3,2,"RAL 397","NI",1,4,69,28
3,2,"RAL 397","NI",2,5,112,34
3,2,"RAL 397","NI",3,4,70,24
3,2,"RAL 370","I",1,5,58,43
3,2,"RAL 370","I",2,5,56,31
3,2,"RAL 370","I",3,5,78,12
3,2,"RAL 370","NI",1,5,80,56
3,2,"RAL 370","NI",2,5,91,73
3,2,"RAL 370","NI",3,5,119,62
3,2,"RAL 382","I",1,5,55,31
3,2,"RAL 382","I",2,5,45,18
3,2,"RAL 382","I",3,5,43,24
3,2,"RAL 382","NI",1,5,92,70
3,2,"RAL 382","NI",2,4,55,37
3,2,"RAL 382","NI",3,4,63,38
3,2,"RAL 786","I",1,5,97,43
3,2,"RAL 786","I",2,4,72,31
3,2,"RAL 786","I",3,4,84,51
3,2,"RAL 786","NI",1,4,66,42
3,2,"RAL 786","NI",2,4,69,40
3,2,"RAL 786","NI",3,4,77,31
3,3,"RAL 486","I",1,2,29,22
3,3,"RAL 486","I",2,2,16,15
3,3,"RAL 486","I",3,1,1,0
3,3,"RAL 486","NI",1,5,81,49
3,3,"RAL 486","NI",2,4,76,38
3,3,"RAL 486","NI",3,4,88,61
3,3,"RAL 646","I",1,4,75,62
3,3,"RAL 646","I",2,5,71,58
3,3,"RAL 646","I",3,4,56,52
3,3,"RAL 646","NI",1,3,32,32
3,3,"RAL 646","NI",2,4,84,65
3,3,"RAL 646","NI",3,3,52,33
3,3,"RAL 129","I",1,5,44,19
3,3,"RAL 129","I",2,3,32,20
3,3,"RAL 129","I",3,4,30,15
3,3,"RAL 129","NI",1,5,32,19
3,3,"RAL 129","NI",2,4,43,32
3,3,"RAL 129","NI",3,5,77,47
3,3,"RAL 799","I",1,3,29,23
3,3,"RAL 799","I",2,5,39,24
3,3,"RAL 799","I",3,3,29,22
3,3,"RAL 799","NI",1,5,54,31
3,3,"RAL 799","NI",2,5,59,36
3,3,"RAL 799","NI",3,5,70,53
3,3,"RAL 395","I",1,4,22,17
3,3,"RAL 395","I",2,5,41,30
3,3,"RAL 395","I",3,4,48,46
3,3,"RAL 395","NI",1,5,58,42
3,3,"RAL 395","NI",2,4,50,47
3,3,"RAL 395","NI",3,5,60,52
3,3,"RAL 443","I",1,4,59,41
3,3,"RAL 443","I",2,5,46,34
3,3,"RAL 443","I",3,4,38,32
3,3,"RAL 443","NI",1,5,107,75
3,3,"RAL 443","NI",2,5,83,56
3,3,"RAL 443","NI",3,5,57,46
3,3,"RAL 737","I",1,4,48,35
3,3,"RAL 737","I",2,3,34,16
3,3,"RAL 737","I",3,5,55,40
3,3,"RAL 737","NI",1,4,54,46
3,3,"RAL 737","NI",2,4,1,1
3,3,"RAL 737","NI",3,3,61,39
3,3,"RAL 776","I",1,5,46,31
3,3,"RAL 776","I",2,4,49,40
3,3,"RAL 776","I",3,5,42,28
3,3,"RAL 776","NI",1,4,54,50
3,3,"RAL 776","NI",2,5,71,60
3,3,"RAL 776","NI",3,5,73,67
3,3,"RAL 837","I",1,1,1,0
3,3,"RAL 837","I",2,3,6,0
3,3,"RAL 837","I",3,3,44,25
3,3,"RAL 837","NI",1,4,61,36
3,3,"RAL 837","NI",2,4,75,36
3,3,"RAL 837","NI",3,3,70,51
3,3,"RAL 397","I",1,5,57,18
3,3,"RAL 397","I",2,5,81,24
3,3,"RAL 397","I",3,4,56,14
3,3,"RAL 397","NI",1,4,61,18
3,3,"RAL 397","NI",2,5,91,25
3,3,"RAL 397","NI",3,4,60,16
3,3,"RAL 370","I",1,4,38,19
3,3,"RAL 370","I",2,5,79,59
3,3,"RAL 370","I",3,5,85,54
3,3,"RAL 370","NI",1,5,60,38
3,3,"RAL 370","NI",2,5,73,61
3,3,"RAL 370","NI",3,5,87,46
3,3,"RAL 382","I",1,3,7,3
3,3,"RAL 382","I",2,5,16,13
3,3,"RAL 382","I",3,4,27,17
3,3,"RAL 382","NI",1,5,89,74
3,3,"RAL 382","NI",2,4,62,40
3,3,"RAL 382","NI",3,4,74,65
3,3,"RAL 786","I",1,5,100,57
3,3,"RAL 786","I",2,4,53,25
3,3,"RAL 786","I",3,4,71,39
3,3,"RAL 786","NI",1,4,73,42
3,3,"RAL 786","NI",2,4,87,49
3,3,"RAL 786","NI",3,3,59,24
3,4,"RAL 486","I",1,2,27,18
3,4,"RAL 486","I",2,2,24,17
3,4,"RAL 486","I",3,1,12,10
3,4,"RAL 486","NI",1,5,98,65
3,4,"RAL 486","NI",2,4,89,44
3,4,"RAL 486","NI",3,4,87,54
3,4,"RAL 646","I",1,4,62,42
3,4,"RAL 646","I",2,5,65,59
3,4,"RAL 646","I",3,4,94,80
3,4,"RAL 646","NI",1,2,36,28
3,4,"RAL 646","NI",2,4,72,64
3,4,"RAL 646","NI",3,3,61,41
3,4,"RAL 129","I",1,5,48,17
3,4,"RAL 129","I",2,3,19,5
3,4,"RAL 129","I",3,4,25,13
3,4,"RAL 129","NI",1,5,17,14
3,4,"RAL 129","NI",2,3,35,26
3,4,"RAL 129","NI",3,5,45,20
3,4,"RAL 799","I",1,3,37,24
3,4,"RAL 799","I",2,5,32,14
3,4,"RAL 799","I",3,3,31,21
3,4,"RAL 799","NI",1,5,65,45
3,4,"RAL 799","NI",2,5,51,42
3,4,"RAL 799","NI",3,5,61,32
3,4,"RAL 395","I",1,3,33,29
3,4,"RAL 395","I",2,5,39,32
3,4,"RAL 395","I",3,4,45,36
3,4,"RAL 395","NI",1,5,42,38
3,4,"RAL 395","NI",2,4,21,21
3,4,"RAL 395","NI",3,5,38,28
3,4,"RAL 443","I",1,4,72,36
3,4,"RAL 443","I",2,5,94,61
3,4,"RAL 443","I",3,3,55,38
3,4,"RAL 443","NI",1,5,71,49
3,4,"RAL 443","NI",2,5,66,37
3,4,"RAL 443","NI",3,5,56,40
3,4,"RAL 737","I",1,4,78,49
3,4,"RAL 737","I",2,3,32,17
3,4,"RAL 737","I",3,5,50,33
3,4,"RAL 737","NI",1,4,48,37
3,4,"RAL 737","NI",2,3,0,0
3,4,"RAL 737","NI",3,3,48,34
3,4,"RAL 776","I",1,4,31,19
3,4,"RAL 776","I",2,4,43,35
3,4,"RAL 776","I",3,5,60,34
3,4,"RAL 776","NI",1,4,61,54
3,4,"RAL 776","NI",2,4,64,41
3,4,"RAL 776","NI",3,5,73,61
3,4,"RAL 837","I",1,1,1,0
3,4,"RAL 837","I",2,3,3,1
3,4,"RAL 837","I",3,3,48,22
3,4,"RAL 837","NI",1,3,79,39
3,4,"RAL 837","NI",2,4,78,40
3,4,"RAL 837","NI",3,3,88,49
3,4,"RAL 397","I",1,5,62,16
3,4,"RAL 397","I",2,5,67,16
3,4,"RAL 397","I",3,4,61,10
3,4,"RAL 397","NI",1,4,46,15
3,4,"RAL 397","NI",2,5,67,17
3,4,"RAL 397","NI",3,4,46,13
3,4,"RAL 370","I",1,3,19,3
3,4,"RAL 370","I",2,5,62,21
3,4,"RAL 370","I",3,5,44,32
3,4,"RAL 370","NI",1,3,34,21
3,4,"RAL 370","NI",2,5,56,40
3,4,"RAL 370","NI",3,5,62,35
3,4,"RAL 382","I",1,3,15,3
3,4,"RAL 382","I",2,4,59,32
3,4,"RAL 382","I",3,3,34,20
3,4,"RAL 382","NI",1,4,74,53
3,4,"RAL 382","NI",2,4,64,46
3,4,"RAL 382","NI",3,4,54,37
3,4,"RAL 786","I",1,5,81,48
3,4,"RAL 786","I",2,4,68,27
3,4,"RAL 786","I",3,4,80,51
3,4,"RAL 786","NI",1,4,57,36
3,4,"RAL 786","NI",2,4,37,11
3,4,"RAL 786","NI",3,3,43,18
3,5,"RAL 486","I",1,2,32,26
3,5,"RAL 486","I",2,2,33,18
3,5,"RAL 486","I",3,1,24,20
3,5,"RAL 486","NI",1,5,73,50
3,5,"RAL 486","NI",2,4,63,46
3,5,"RAL 486","NI",3,4,74,43
3,5,"RAL 646","I",1,4,77,36
3,5,"RAL 646","I",2,4,92,73
3,5,"RAL 646","I",3,4,85,72
3,5,"RAL 646","NI",1,2,56,46
3,5,"RAL 646","NI",2,4,60,52
3,5,"RAL 646","NI",3,3,53,40
3,5,"RAL 129","I",1,5,65,25
3,5,"RAL 129","I",2,1,0,0
3,5,"RAL 129","I",3,4,13,5
3,5,"RAL 129","NI",1,5,21,18
3,5,"RAL 129","NI",2,3,28,26
3,5,"RAL 129","NI",3,5,45,19
3,5,"RAL 799","I",1,3,15,9
3,5,"RAL 799","I",2,5,20,5
3,5,"RAL 799","I",3,2,20,14
3,5,"RAL 799","NI",1,5,53,34
3,5,"RAL 799","NI",2,5,52,33
3,5,"RAL 799","NI",3,5,42,17
3,5,"RAL 395","I",1,3,23,18
3,5,"RAL 395","I",2,5,31,21
3,5,"RAL 395","I",3,4,17,15
3,5,"RAL 395","NI",1,5,43,15
3,5,"RAL 395","NI",2,4,212,35
3,5,"RAL 395","NI",3,5,41,32
3,5,"RAL 443","I",1,4,65,32
3,5,"RAL 443","I",2,5,55,43
3,5,"RAL 443","I",3,3,64,37
3,5,"RAL 443","NI",1,5,67,44
3,5,"RAL 443","NI",2,5,27,15
3,5,"RAL 443","NI",3,5,50,35
3,5,"RAL 737","I",1,4,49,35
3,5,"RAL 737","I",2,3,17,12
3,5,"RAL 737","I",3,5,69,48
3,5,"RAL 737","NI",1,3,37,31
3,5,"RAL 737","NI",2,2,22,15
3,5,"RAL 737","NI",3,3,42,33
3,5,"RAL 776","I",1,3,35,25
3,5,"RAL 776","I",2,4,52,44
3,5,"RAL 776","I",3,5,59,29
3,5,"RAL 776","NI",1,4,54,48
3,5,"RAL 776","NI",2,4,58,44
3,5,"RAL 776","NI",3,5,79,75
3,5,"RAL 837","I",1,1,1,0
3,5,"RAL 837","I",2,2,0,0
3,5,"RAL 837","I",3,3,52,25
3,5,"RAL 837","NI",1,3,39,32
3,5,"RAL 837","NI",2,4,65,41
3,5,"RAL 837","NI",3,3,70,31
3,5,"RAL 397","I",1,5,39,9
3,5,"RAL 397","I",2,5,71,18
3,5,"RAL 397","I",3,4,37,10
3,5,"RAL 397","NI",1,4,42,7
3,5,"RAL 397","NI",2,5,40,6
3,5,"RAL 397","NI",3,4,43,15
3,5,"RAL 370","I",1,2,19,7
3,5,"RAL 370","I",2,5,52,18
3,5,"RAL 370","I",3,5,49,36
3,5,"RAL 370","NI",1,3,12,5
3,5,"RAL 370","NI",2,5,49,30
3,5,"RAL 370","NI",3,5,91,53
3,5,"RAL 382","I",1,3,41,22
3,5,"RAL 382","I",2,4,34,24
3,5,"RAL 382","I",3,3,31,13
3,5,"RAL 382","NI",1,4,64,43
3,5,"RAL 382","NI",2,4,60,47
3,5,"RAL 382","NI",3,4,67,52
3,5,"RAL 786","I",1,5,75,39
3,5,"RAL 786","I",2,4,34,14
3,5,"RAL 786","I",3,4,54,33
3,5,"RAL 786","NI",1,4,29,21
3,5,"RAL 786","NI",2,3,44,15
3,5,"RAL 786","NI",3,3,39,13
